onset	duration	trial_type	event_type	trial_number	condition	picture_number	time_until_response	response_time	unpleasantness_rating	onset_uncorrected
0.012	5.173	ITI	Fixation+	0	No_Pain	n/a	9.871	n/a	n/a	24.034
5.201	3.498	Pic2	Picture	0	No_Pain	24	6.356	n/a	n/a	29.223
8.699	2.006	Blank	Blank	0	No_Pain	n/a	4.35	n/a	n/a	32.721
15.056	n/a	ConfirmRating	Rate	0	No_Pain	24	n/a	3.834	0	39.077
15.082	4.443	ITI	Fixation+	1	No_Pain	n/a	10.471	n/a	n/a	39.104
19.542	3.498	Pic2	Picture	1	No_Pain	25	6.956	n/a	n/a	43.564
23.04	2.006	Blank	Blank	1	No_Pain	n/a	4.95	n/a	n/a	47.062
29.996	n/a	ConfirmRating	Rate	1	No_Pain	25	n/a	4.434	0	54.018
30.02	4.841	ITI	Fixation+	2	Pain	n/a	15.642	n/a	n/a	54.041
34.877	3.498	Pic2	Picture	2	Pain	19	12.128	n/a	n/a	58.899
38.375	2.006	Blank	Blank	2	Pain	n/a	10.122	n/a	n/a	62.397
50.503	n/a	ConfirmRating	Rate	2	Pain	19	n/a	9.605	92	74.525
50.528	5.056	ITI	Fixation+	3	No_Pain	n/a	8.388	n/a	n/a	74.549
55.601	3.498	Pic2	Picture	3	No_Pain	37	4.873	n/a	n/a	79.622
59.099	2.006	Blank	Blank	3	No_Pain	n/a	2.867	n/a	n/a	83.121
63.972	n/a	ConfirmRating	Rate	3	No_Pain	37	n/a	2.35	0	87.993
63.99	5.869	ITI	Fixation+	4	Pain	n/a	8.251	n/a	n/a	88.011
69.875	3.498	Pic2	Picture	4	Pain	2	4.737	n/a	n/a	93.897
73.373	2.006	Blank	Blank	4	Pain	n/a	2.73	n/a	n/a	97.395
78.11	n/a	ConfirmRating	Rate	4	Pain	2	n/a	2.214	90	102.131
78.131	4.211	ITI	Fixation+	5	No_Pain	n/a	9.94	n/a	n/a	102.153
82.359	3.498	Pic2	Picture	5	No_Pain	26	6.425	n/a	n/a	106.38
85.857	2.006	Blank	Blank	5	No_Pain	n/a	4.419	n/a	n/a	109.879
92.282	n/a	ConfirmRating	Rate	5	No_Pain	26	n/a	3.903	0	116.304
92.306	5.67	ITI	Fixation+	6	Pain	n/a	11.943	n/a	n/a	116.328
97.993	3.498	Pic2	Picture	6	Pain	12	8.428	n/a	n/a	122.014
101.491	2.006	Blank	Blank	6	Pain	n/a	6.422	n/a	n/a	125.512
109.919	n/a	ConfirmRating	Rate	6	Pain	12	n/a	5.905	98	133.941
109.946	4.476	ITI	Fixation+	7	Pain	n/a	10.014	n/a	n/a	133.968
114.439	3.498	Pic2	Picture	7	Pain	3	6.499	n/a	n/a	138.46
117.937	2.006	Blank	Blank	7	Pain	n/a	4.493	n/a	n/a	141.958
124.436	n/a	ConfirmRating	Rate	7	Pain	3	n/a	3.976	93	148.457
124.452	4.526	ITI	Fixation+	8	No_Pain	n/a	7.797	n/a	n/a	148.474
128.995	3.498	Pic2	Picture	8	No_Pain	30	4.283	n/a	n/a	153.017
132.493	2.006	Blank	Blank	8	No_Pain	n/a	2.276	n/a	n/a	156.515
136.775	n/a	ConfirmRating	Rate	8	No_Pain	30	n/a	1.76	1	160.797
136.803	4.426	ITI	Fixation+	9	Pain	n/a	7.727	n/a	n/a	160.825
141.246	3.498	Pic2	Picture	9	Pain	4	4.213	n/a	n/a	165.268
144.745	2.006	Blank	Blank	9	Pain	n/a	2.207	n/a	n/a	168.766
148.957	n/a	ConfirmRating	Rate	9	Pain	4	n/a	1.69	81	172.979
148.989	4.294	ITI	Fixation+	10	No_Pain	n/a	8.424	n/a	n/a	173.011
153.299	3.498	Pic2	Picture	10	No_Pain	28	4.91	n/a	n/a	177.321
156.797	2.006	Blank	Blank	10	No_Pain	n/a	2.904	n/a	n/a	180.819
161.707	n/a	ConfirmRating	Rate	10	No_Pain	28	n/a	2.387	1	185.729
161.738	4.46	ITI	Fixation+	11	Pain	n/a	9.047	n/a	n/a	185.76
166.214	3.498	Pic2	Picture	11	Pain	13	5.532	n/a	n/a	190.236
169.712	2.006	Blank	Blank	11	Pain	n/a	3.526	n/a	n/a	193.734
175.245	n/a	ConfirmRating	Rate	11	Pain	13	n/a	3.01	97	199.266
175.266	5.454	ITI	Fixation+	12	No_Pain	n/a	7.867	n/a	n/a	199.288
180.737	3.498	Pic2	Picture	12	No_Pain	32	4.352	n/a	n/a	204.759
184.235	2.006	Blank	Blank	12	No_Pain	n/a	2.346	n/a	n/a	208.257
188.587	n/a	ConfirmRating	Rate	12	No_Pain	32	n/a	1.83	0	212.609
188.612	4.758	ITI	Fixation+	13	Pain	n/a	8.919	n/a	n/a	212.634
193.387	3.498	Pic2	Picture	13	Pain	5	5.405	n/a	n/a	217.408
196.885	2.006	Blank	Blank	13	Pain	n/a	3.399	n/a	n/a	220.906
202.289	n/a	ConfirmRating	Rate	13	Pain	5	n/a	2.882	100	226.311
202.306	4.874	ITI	Fixation+	14	No_Pain	n/a	7.677	n/a	n/a	226.328
207.197	3.498	Pic2	Picture	14	No_Pain	21	4.162	n/a	n/a	231.219
210.695	2.006	Blank	Blank	14	No_Pain	n/a	2.156	n/a	n/a	234.717
214.857	n/a	ConfirmRating	Rate	14	No_Pain	21	n/a	1.639	0	238.879
214.889	4.112	ITI	Fixation+	15	No_Pain	n/a	7.372	n/a	n/a	238.911
219.017	3.498	Pic2	Picture	15	No_Pain	38	3.857	n/a	n/a	243.039
222.516	2.006	Blank	Blank	15	No_Pain	n/a	1.851	n/a	n/a	246.537
226.373	n/a	ConfirmRating	Rate	15	No_Pain	38	n/a	1.335	0	250.394
226.395	5.653	ITI	Fixation+	16	Pain	n/a	10.987	n/a	n/a	250.417
232.065	3.498	Pic2	Picture	16	Pain	16	7.473	n/a	n/a	256.087
235.563	2.006	Blank	Blank	16	Pain	n/a	5.466	n/a	n/a	259.585
243.036	n/a	ConfirmRating	Rate	16	Pain	16	n/a	4.95	100	267.057
243.057	5.504	ITI	Fixation+	17	No_Pain	n/a	8.437	n/a	n/a	267.078
248.577	3.498	Pic2	Picture	17	No_Pain	22	4.923	n/a	n/a	272.599
252.075	2.006	Blank	Blank	17	No_Pain	n/a	2.917	n/a	n/a	276.097
256.998	n/a	ConfirmRating	Rate	17	No_Pain	22	n/a	2.4	0	281.02
257.016	4.808	ITI	Fixation+	18	Pain	n/a	10.739	n/a	n/a	281.038
261.84	3.498	Pic2	Picture	18	Pain	8	7.224	n/a	n/a	285.862
265.339	2.006	Blank	Blank	18	Pain	n/a	5.219	n/a	n/a	289.36
272.563	n/a	ConfirmRating	Rate	18	Pain	8	n/a	4.702	90	296.585
272.583	4.609	ITI	Fixation+	19	Pain	n/a	10.365	n/a	n/a	296.605
277.209	3.498	Pic2	Picture	19	Pain	1	6.851	n/a	n/a	301.231
280.707	2.006	Blank	Blank	19	Pain	n/a	4.845	n/a	n/a	304.729
287.558	n/a	ConfirmRating	Rate	19	Pain	1	n/a	4.328	89	311.579
287.587	15.004	Rest	n/a	19	n/a	n/a	-15.033	n/a	n/a	311.609
302.608	6.002	ITI	Fixation+	20	No_Pain	n/a	8.597	n/a	n/a	326.629
308.626	3.498	Pic2	Picture	20	No_Pain	23	5.082	n/a	n/a	332.647
312.124	2.006	Blank	Blank	20	No_Pain	n/a	3.076	n/a	n/a	336.145
317.206	n/a	ConfirmRating	Rate	20	No_Pain	23	n/a	2.559	0	341.228
317.23	4.708	ITI	Fixation+	21	Pain	n/a	9.434	n/a	n/a	341.252
321.955	3.498	Pic2	Picture	21	Pain	10	5.919	n/a	n/a	345.977
325.453	2.006	Blank	Blank	21	Pain	n/a	3.913	n/a	n/a	349.475
331.372	n/a	ConfirmRating	Rate	21	Pain	10	n/a	3.396	100	355.394
331.405	5.554	ITI	Fixation+	22	No_Pain	n/a	7.445	n/a	n/a	355.426
336.975	3.498	Pic2	Picture	22	No_Pain	36	3.93	n/a	n/a	360.997
340.473	2.006	Blank	Blank	22	No_Pain	n/a	1.924	n/a	n/a	364.495
344.404	n/a	ConfirmRating	Rate	22	No_Pain	36	n/a	1.408	0	368.425
344.436	4.692	ITI	Fixation+	23	Pain	n/a	8.406	n/a	n/a	368.457
349.144	3.498	Pic2	Picture	23	Pain	11	4.891	n/a	n/a	373.166
352.642	2.006	Blank	Blank	23	Pain	n/a	2.885	n/a	n/a	376.664
357.533	n/a	ConfirmRating	Rate	23	Pain	11	n/a	2.369	100	381.555
357.566	5.885	ITI	Fixation+	24	Pain	n/a	7.372	n/a	n/a	381.588
363.468	3.498	Pic2	Picture	24	Pain	17	3.857	n/a	n/a	387.49
