onset	duration	trial_type	response_time	KSS_rating	onset_uncorrected
0.009	120.014	Fixation+	n/a	n/a	40.496
127.2	n/a	Response	7.178	5	167.688
127.217	120.014	Fixation+	n/a	n/a	167.705
255.925	n/a	Response	8.694	6	296.413
255.951	120.014	Fixation+	n/a	n/a	296.439
387.637	n/a	Response	11.672	7	428.125
387.67	120.013	Fixation+	n/a	n/a	428.158
520.445	n/a	Response	12.762	7	560.933
