onset	duration	trial_type	response_time	KSS_rating	onset_uncorrected
0.011	120.014	Fixation+	n/a	n/a	44.774
122.257	n/a	Response	2.232	5	167.019
122.279	120.013	Fixation+	n/a	n/a	167.042
245.848	n/a	Response	3.555	6	290.611
245.874	120.013	Fixation+	n/a	n/a	290.637
368.351	n/a	Response	2.464	7	413.114
368.374	120.013	Fixation+	n/a	n/a	413.137
491.723	n/a	Response	3.335	7	536.485
