onset	duration	trial_type	response_time	KSS_rating	onset_uncorrected
0.009	120.013	Fixation+	n/a	n/a	44.674
134.625	n/a	Response	14.602	5	179.29
134.645	120.013	Fixation+	n/a	n/a	179.31
261.226	n/a	Response	6.568	6	305.892
261.257	120.013	Fixation+	n/a	n/a	305.922
387.649	n/a	Response	6.379	7	432.315
387.669	120.014	Fixation+	n/a	n/a	432.335
514.627	n/a	Response	6.944	7	559.293
