onset	duration	trial_type	event_type	trial_number	condition	picture_number	time_until_response	response_time	unpleasantness_rating	onset_uncorrected
0.012	4.36	ITI	Fixation+	0	Pain	n/a	12.187	n/a	n/a	30.897
4.389	3.498	Pic2	Picture	0	Pain	7	8.672	n/a	n/a	35.274
7.887	2.006	Blank	Blank	0	Pain	n/a	6.666	n/a	n/a	38.772
16.559	n/a	ConfirmRating	Rate	0	Pain	7	n/a	6.15	61	47.444
16.591	5.785	ITI	Fixation+	1	Pain	n/a	13.5	n/a	n/a	47.476
22.393	3.498	Pic2	Picture	1	Pain	15	9.984	n/a	n/a	53.279
25.892	2.006	Blank	Blank	1	Pain	n/a	7.978	n/a	n/a	56.777
35.876	n/a	ConfirmRating	Rate	1	Pain	15	n/a	7.462	47	66.761
35.905	4.327	ITI	Fixation+	2	No_Pain	n/a	9.019	n/a	n/a	66.79
40.249	3.498	Pic2	Picture	2	No_Pain	34	5.504	n/a	n/a	71.134
43.747	2.006	Blank	Blank	2	No_Pain	n/a	3.498	n/a	n/a	74.632
49.251	n/a	ConfirmRating	Rate	2	No_Pain	34	n/a	2.981	0	80.136
49.268	4.957	ITI	Fixation+	3	No_Pain	n/a	8.225	n/a	n/a	80.153
54.241	3.498	Pic2	Picture	3	No_Pain	35	4.71	n/a	n/a	85.126
57.739	2.006	Blank	Blank	3	No_Pain	n/a	2.704	n/a	n/a	88.624
62.45	n/a	ConfirmRating	Rate	3	No_Pain	35	n/a	2.187	0	93.335
62.481	4.841	ITI	Fixation+	4	Pain	n/a	9.541	n/a	n/a	93.366
67.338	3.498	Pic2	Picture	4	Pain	6	6.026	n/a	n/a	98.223
70.836	2.006	Blank	Blank	4	Pain	n/a	4.02	n/a	n/a	101.722
76.862	n/a	ConfirmRating	Rate	4	Pain	6	n/a	3.503	39	107.747
76.888	4.742	ITI	Fixation+	5	No_Pain	n/a	9.453	n/a	n/a	107.773
81.646	3.498	Pic2	Picture	5	No_Pain	29	5.938	n/a	n/a	112.531
85.144	2.006	Blank	Blank	5	No_Pain	n/a	3.932	n/a	n/a	116.029
91.082	n/a	ConfirmRating	Rate	5	No_Pain	29	n/a	3.416	0	121.967
91.112	5.007	ITI	Fixation+	6	No_Pain	n/a	9.292	n/a	n/a	121.997
96.136	3.498	Pic2	Picture	6	No_Pain	39	5.777	n/a	n/a	127.021
