onset	duration	trial_type	response_time	KSS_rating	onset_uncorrected
0.012	120.013	Fixation+	n/a	n/a	45.089
123.296	n/a	Response	3.27	5	168.373
123.325	120.013	Fixation+	n/a	n/a	168.401
246.159	n/a	Response	2.82	6	291.235
246.19	120.013	Fixation+	n/a	n/a	291.267
385.913	n/a	Response	19.71	7	430.99
385.932	120.013	Fixation+	n/a	n/a	431.009
507.812	n/a	Response	1.866	7	552.889
