onset	duration	trial_type	event_type	trial_number	condition	picture_number	time_until_response	response_time	unpleasantness_rating	onset_uncorrected
0.006	5.786	ITI	Fixation+	0	Pain	n/a	7.923	n/a	n/a	24.714
5.809	3.498	Pic2	Picture	0	Pain	7	4.409	n/a	n/a	30.516
9.307	2.006	Blank	Blank	0	Pain	n/a	2.403	n/a	n/a	34.014
13.716	n/a	ConfirmRating	Rate	0	Pain	7	n/a	1.886	0	38.423
13.734	4.907	ITI	Fixation+	1	Pain	n/a	7.6	n/a	n/a	38.441
18.658	3.498	Pic2	Picture	1	Pain	15	4.085	n/a	n/a	43.365
22.156	2.006	Blank	Blank	1	Pain	n/a	2.079	n/a	n/a	46.863
26.241	n/a	ConfirmRating	Rate	1	Pain	15	n/a	1.563	0	50.948
26.267	5.173	ITI	Fixation+	2	No_Pain	n/a	7.347	n/a	n/a	50.975
31.456	3.498	Pic2	Picture	2	No_Pain	34	3.832	n/a	n/a	56.164
34.954	2.006	Blank	Blank	2	No_Pain	n/a	1.826	n/a	n/a	59.662
38.787	n/a	ConfirmRating	Rate	2	No_Pain	34	n/a	1.31	0	63.494
38.817	5.919	ITI	Fixation+	3	No_Pain	n/a	9.408	n/a	n/a	63.525
44.753	3.498	Pic2	Picture	3	No_Pain	35	5.894	n/a	n/a	69.46
48.251	2.006	Blank	Blank	3	No_Pain	n/a	3.888	n/a	n/a	72.958
54.144	n/a	ConfirmRating	Rate	3	No_Pain	35	n/a	3.371	0	78.852
54.169	5.769	ITI	Fixation+	4	Pain	n/a	8.218	n/a	n/a	78.877
59.956	3.498	Pic2	Picture	4	Pain	6	4.704	n/a	n/a	84.663
63.454	2.006	Blank	Blank	4	Pain	n/a	2.697	n/a	n/a	88.161
68.157	n/a	ConfirmRating	Rate	4	Pain	6	n/a	2.181	0	92.865
68.179	4.924	ITI	Fixation+	5	No_Pain	n/a	8.751	n/a	n/a	92.886
73.119	3.498	Pic2	Picture	5	No_Pain	29	5.237	n/a	n/a	97.827
