onset	duration	trial_type	event_type	trial_number	condition	picture_number	time_until_response	response_time	unpleasantness_rating	onset_uncorrected
0.017	4.426	ITI	Fixation+	0	No_Pain	n/a	8.105	n/a	n/a	30.052
4.46	3.498	Pic2	Picture	0	No_Pain	24	4.59	n/a	n/a	34.495
7.958	2.006	Blank	Blank	0	No_Pain	n/a	2.584	n/a	n/a	37.993
12.548	n/a	ConfirmRating	Rate	0	No_Pain	24	n/a	2.068	0	42.584
12.567	4.708	ITI	Fixation+	1	No_Pain	n/a	6.926	n/a	n/a	42.602
17.292	3.498	Pic2	Picture	1	No_Pain	25	3.411	n/a	n/a	47.327
20.79	2.006	Blank	Blank	1	No_Pain	n/a	1.405	n/a	n/a	50.825
24.201	n/a	ConfirmRating	Rate	1	No_Pain	25	n/a	0.889	0	54.236
24.222	4.46	ITI	Fixation+	2	Pain	n/a	6.97	n/a	n/a	54.257
28.698	3.498	Pic2	Picture	2	Pain	19	3.456	n/a	n/a	58.733
32.196	2.006	Blank	Blank	2	Pain	n/a	1.45	n/a	n/a	62.232
35.652	n/a	ConfirmRating	Rate	2	Pain	19	n/a	0.933	12	65.687
35.678	4.029	ITI	Fixation+	3	No_Pain	n/a	6.674	n/a	n/a	65.713
39.723	3.498	Pic2	Picture	3	No_Pain	37	3.16	n/a	n/a	69.758
43.221	2.006	Blank	Blank	3	No_Pain	n/a	1.154	n/a	n/a	73.257
46.381	n/a	ConfirmRating	Rate	3	No_Pain	37	n/a	0.637	0	76.416
46.404	4.509	ITI	Fixation+	4	Pain	n/a	7.263	n/a	n/a	76.44
50.93	3.498	Pic2	Picture	4	Pain	2	3.748	n/a	n/a	80.966
54.428	2.006	Blank	Blank	4	Pain	n/a	1.742	n/a	n/a	84.464
58.177	n/a	ConfirmRating	Rate	4	Pain	2	n/a	1.226	0	88.212
58.208	4.891	ITI	Fixation+	5	No_Pain	n/a	8.56	n/a	n/a	88.244
63.116	3.498	Pic2	Picture	5	No_Pain	26	5.046	n/a	n/a	93.151
66.614	2.006	Blank	Blank	5	No_Pain	n/a	3.04	n/a	n/a	96.649
71.659	n/a	ConfirmRating	Rate	5	No_Pain	26	n/a	2.523	3	101.695
71.687	5.239	ITI	Fixation+	6	Pain	n/a	7.379	n/a	n/a	101.722
76.942	3.498	Pic2	Picture	6	Pain	12	3.865	n/a	n/a	106.978
80.44	2.006	Blank	Blank	6	Pain	n/a	1.859	n/a	n/a	110.476
84.305	n/a	ConfirmRating	Rate	6	Pain	12	n/a	1.342	0	114.341
84.337	4.178	ITI	Fixation+	7	Pain	n/a	6.514	n/a	n/a	114.372
88.531	3.498	Pic2	Picture	7	Pain	3	2.999	n/a	n/a	118.566
92.029	2.006	Blank	Blank	7	Pain	n/a	0.993	n/a	n/a	122.064
95.028	n/a	ConfirmRating	Rate	7	Pain	3	n/a	0.476	7	125.064
95.046	4.841	ITI	Fixation+	8	No_Pain	n/a	7.604	n/a	n/a	125.082
99.904	3.498	Pic2	Picture	8	No_Pain	30	4.089	n/a	n/a	129.94
103.402	2.006	Blank	Blank	8	No_Pain	n/a	2.083	n/a	n/a	133.438
107.491	n/a	ConfirmRating	Rate	8	No_Pain	30	n/a	1.566	5	137.526
107.514	4.443	ITI	Fixation+	9	Pain	n/a	7.115	n/a	n/a	137.549
111.973	3.498	Pic2	Picture	9	Pain	4	3.6	n/a	n/a	142.009
115.472	2.006	Blank	Blank	9	Pain	n/a	1.594	n/a	n/a	145.507
119.072	n/a	ConfirmRating	Rate	9	Pain	4	n/a	1.078	5	149.107
119.102	4.261	ITI	Fixation+	10	No_Pain	n/a	7.403	n/a	n/a	149.138
123.38	3.498	Pic2	Picture	10	No_Pain	28	3.888	n/a	n/a	153.415
126.878	2.006	Blank	Blank	10	No_Pain	n/a	1.882	n/a	n/a	156.913
130.766	n/a	ConfirmRating	Rate	10	No_Pain	28	n/a	1.366	0	160.801
130.79	5.571	ITI	Fixation+	11	Pain	n/a	6.883	n/a	n/a	160.826
136.377	3.498	Pic2	Picture	11	Pain	13	3.368	n/a	n/a	166.413
139.875	2.006	Blank	Blank	11	Pain	n/a	1.362	n/a	n/a	169.911
143.244	n/a	ConfirmRating	Rate	11	Pain	13	n/a	0.846	0	173.279
143.274	5.023	ITI	Fixation+	12	No_Pain	n/a	6.653	n/a	n/a	173.31
148.314	3.498	Pic2	Picture	12	No_Pain	32	3.138	n/a	n/a	178.35
151.812	2.006	Blank	Blank	12	No_Pain	n/a	1.132	n/a	n/a	181.848
154.95	n/a	ConfirmRating	Rate	12	No_Pain	32	n/a	0.616	3	184.986
154.979	5.106	ITI	Fixation+	13	Pain	n/a	7.634	n/a	n/a	185.014
160.102	3.498	Pic2	Picture	13	Pain	5	4.12	n/a	n/a	190.137
163.6	2.006	Blank	Blank	13	Pain	n/a	2.113	n/a	n/a	193.635
167.719	n/a	ConfirmRating	Rate	13	Pain	5	n/a	1.597	2	197.755
167.745	4.344	ITI	Fixation+	14	No_Pain	n/a	7.312	n/a	n/a	197.78
172.105	3.498	Pic2	Picture	14	No_Pain	21	3.797	n/a	n/a	202.14
175.603	2.006	Blank	Blank	14	No_Pain	n/a	1.791	n/a	n/a	205.638
179.4	n/a	ConfirmRating	Rate	14	No_Pain	21	n/a	1.274	0	209.436
179.433	5.322	ITI	Fixation+	15	No_Pain	n/a	6.622	n/a	n/a	209.468
184.771	3.498	Pic2	Picture	15	No_Pain	38	3.107	n/a	n/a	214.806
188.269	2.006	Blank	Blank	15	No_Pain	n/a	1.101	n/a	n/a	218.305
191.376	n/a	ConfirmRating	Rate	15	No_Pain	38	n/a	0.584	0	221.412
191.402	5.72	ITI	Fixation+	16	Pain	n/a	8.383	n/a	n/a	221.438
197.139	3.498	Pic2	Picture	16	Pain	16	4.868	n/a	n/a	227.174
200.637	2.006	Blank	Blank	16	Pain	n/a	2.862	n/a	n/a	230.672
205.505	n/a	ConfirmRating	Rate	16	Pain	16	n/a	2.345	0	235.541
205.528	5.504	ITI	Fixation+	17	No_Pain	n/a	8.628	n/a	n/a	235.563
211.048	3.498	Pic2	Picture	17	No_Pain	22	5.113	n/a	n/a	241.084
214.547	2.006	Blank	Blank	17	No_Pain	n/a	3.107	n/a	n/a	244.582
219.66	n/a	ConfirmRating	Rate	17	No_Pain	22	n/a	2.591	5	249.695
219.686	5.686	ITI	Fixation+	18	Pain	n/a	6.367	n/a	n/a	249.721
225.389	3.498	Pic2	Picture	18	Pain	8	2.852	n/a	n/a	255.425
228.887	2.006	Blank	Blank	18	Pain	n/a	0.846	n/a	n/a	258.923
231.74	n/a	ConfirmRating	Rate	18	Pain	8	n/a	0.33	10	261.775
231.772	4.31	ITI	Fixation+	19	Pain	n/a	6.401	n/a	n/a	261.808
236.099	3.498	Pic2	Picture	19	Pain	1	2.886	n/a	n/a	266.135
239.597	2.006	Blank	Blank	19	Pain	n/a	0.88	n/a	n/a	269.633
242.484	n/a	ConfirmRating	Rate	19	Pain	1	n/a	0.364	0	272.519
242.515	15.004	Rest	n/a	19	n/a	n/a	-15.035	n/a	n/a	272.55
257.535	5.935	ITI	Fixation+	20	No_Pain	n/a	7.374	n/a	n/a	287.571
263.487	3.498	Pic2	Picture	20	No_Pain	23	3.859	n/a	n/a	293.523
266.985	2.006	Blank	Blank	20	No_Pain	n/a	1.853	n/a	n/a	297.021
270.844	n/a	ConfirmRating	Rate	20	No_Pain	23	n/a	1.336	2	300.88
270.865	5.156	ITI	Fixation+	21	Pain	n/a	7.375	n/a	n/a	300.9
276.037	3.498	Pic2	Picture	21	Pain	10	3.861	n/a	n/a	306.073
279.536	2.006	Blank	Blank	21	Pain	n/a	1.854	n/a	n/a	309.571
283.396	n/a	ConfirmRating	Rate	21	Pain	10	n/a	1.338	0	313.432
283.415	5.123	ITI	Fixation+	22	No_Pain	n/a	6.308	n/a	n/a	313.45
288.554	3.498	Pic2	Picture	22	No_Pain	36	2.793	n/a	n/a	318.59
