onset	duration	trial_type	response_time	KSS_rating	onset_uncorrected
0.009	120.014	Fixation+	n/a	n/a	42.751
127.826	n/a	Response	7.804	5	170.569
127.848	120.014	Fixation+	n/a	n/a	170.591
249.713	n/a	Response	1.852	6	292.456
249.735	120.014	Fixation+	n/a	n/a	292.478
372.844	n/a	Response	3.095	7	415.587
372.866	120.014	Fixation+	n/a	n/a	415.609
496.837	n/a	Response	3.957	7	539.58
