onset	duration	trial_type	response_time	KSS_rating	onset_uncorrected
0.011	120.014	Fixation+	n/a	n/a	39.867
134.061	n/a	Response	14.036	5	173.917
134.084	120.014	Fixation+	n/a	n/a	173.94
260.02	n/a	Response	5.922	6	299.877
260.05	120.014	Fixation+	n/a	n/a	299.906
382.747	n/a	Response	2.683	7	422.603
382.767	120.014	Fixation+	n/a	n/a	422.623
504.854	n/a	Response	2.072	7	544.71
