onset	duration	trial_type	response_time	KSS_rating	onset_uncorrected
0.006	120.013	Fixation+	n/a	n/a	43.066
127.443	n/a	Response	7.424	5	170.503
127.464	120.013	Fixation+	n/a	n/a	170.524
264.371	n/a	Response	16.894	6	307.431
264.387	120.013	Fixation+	n/a	n/a	307.447
392.601	n/a	Response	8.201	7	435.661
392.624	120.013	Fixation+	n/a	n/a	435.684
517.714	n/a	Response	5.077	7	560.774
