onset	duration	trial_type	response_time	KSS_rating	onset_uncorrected
0.011	120.014	Fixation+	n/a	n/a	44.161
123.541	n/a	Response	3.516	5	167.69
123.573	120.014	Fixation+	n/a	n/a	167.723
246.855	n/a	Response	3.267	6	291.004
246.887	120.014	Fixation+	n/a	n/a	291.036
368.935	n/a	Response	2.034	7	413.084
368.957	120.014	Fixation+	n/a	n/a	413.106
490.447	n/a	Response	1.476	7	534.596
