onset	duration	trial_type	response_time	KSS_rating	onset_uncorrected
0.014	120.013	Fixation+	n/a	n/a	52.516
126.306	n/a	Response	6.278	5	178.807
126.328	120.013	Fixation+	n/a	n/a	178.829
250.743	n/a	Response	4.402	6	303.245
250.768	120.013	Fixation+	n/a	n/a	303.269
379.992	n/a	Response	9.211	7	432.494
380.016	120.013	Fixation+	n/a	n/a	432.517
502.143	n/a	Response	2.113	7	554.644
