onset	duration	trial_type	event_type	trial_number	condition	picture_number	time_until_response	response_time	unpleasantness_rating	onset_uncorrected
0.004	5.007	ITI	Fixation+	0	No_Pain	n/a	13.464	n/a	n/a	159.134
5.028	3.498	Pic2	Picture	0	No_Pain	24	9.949	n/a	n/a	164.157
8.526	2.006	Blank	Blank	0	No_Pain	n/a	7.943	n/a	n/a	167.655
18.475	n/a	ConfirmRating	Rate	0	No_Pain	24	n/a	7.426	0	177.605
18.506	5.073	ITI	Fixation+	1	No_Pain	n/a	12.581	n/a	n/a	177.636
23.596	3.498	Pic2	Picture	1	No_Pain	25	9.067	n/a	n/a	182.726
27.094	2.006	Blank	Blank	1	No_Pain	n/a	7.061	n/a	n/a	186.224
36.161	n/a	ConfirmRating	Rate	1	No_Pain	25	n/a	6.544	2	195.29
36.179	4.128	ITI	Fixation+	2	Pain	n/a	16.799	n/a	n/a	195.309
40.324	3.498	Pic2	Picture	2	Pain	19	13.284	n/a	n/a	199.453
43.822	2.006	Blank	Blank	2	Pain	n/a	11.278	n/a	n/a	202.952
57.106	n/a	ConfirmRating	Rate	2	Pain	19	n/a	10.761	56	216.236
57.135	4.857	ITI	Fixation+	3	No_Pain	n/a	11.255	n/a	n/a	216.264
62.009	3.498	Pic2	Picture	3	No_Pain	37	7.74	n/a	n/a	221.138
65.507	2.006	Blank	Blank	3	No_Pain	n/a	5.734	n/a	n/a	224.637
73.247	n/a	ConfirmRating	Rate	3	No_Pain	37	n/a	5.217	0	232.377
73.266	4.659	ITI	Fixation+	4	Pain	n/a	13.965	n/a	n/a	232.395
77.941	3.498	Pic2	Picture	4	Pain	2	10.451	n/a	n/a	237.071
81.439	2.006	Blank	Blank	4	Pain	n/a	8.444	n/a	n/a	240.569
91.89	n/a	ConfirmRating	Rate	4	Pain	2	n/a	7.928	57	251.019
91.917	4.99	ITI	Fixation+	5	No_Pain	n/a	10.523	n/a	n/a	251.047
96.924	3.498	Pic2	Picture	5	No_Pain	26	7.009	n/a	n/a	256.053
100.422	2.006	Blank	Blank	5	No_Pain	n/a	5.003	n/a	n/a	259.551
107.43	n/a	ConfirmRating	Rate	5	No_Pain	26	n/a	4.486	0	266.56
107.451	4.576	ITI	Fixation+	6	Pain	n/a	10.145	n/a	n/a	266.581
112.044	3.498	Pic2	Picture	6	Pain	12	6.63	n/a	n/a	271.173
115.542	2.006	Blank	Blank	6	Pain	n/a	4.624	n/a	n/a	274.671
122.172	n/a	ConfirmRating	Rate	6	Pain	12	n/a	4.108	66	281.302
122.19	5.786	ITI	Fixation+	7	Pain	n/a	9.343	n/a	n/a	281.319
127.992	3.498	Pic2	Picture	7	Pain	3	5.828	n/a	n/a	287.122
131.49	2.006	Blank	Blank	7	Pain	n/a	3.822	n/a	n/a	290.62
137.319	n/a	ConfirmRating	Rate	7	Pain	3	n/a	3.306	52	296.448
137.343	5.09	ITI	Fixation+	8	No_Pain	n/a	7.988	n/a	n/a	296.472
