onset	duration	trial_type	event_type	trial_number	condition	picture_number	time_until_response	response_time	unpleasantness_rating	onset_uncorrected
0.017	4.974	ITI	Fixation+	0	Pain	n/a	9.506	n/a	n/a	29.057
5.007	3.498	Pic2	Picture	0	Pain	7	5.991	n/a	n/a	34.048
8.505	2.006	Blank	Blank	0	Pain	n/a	3.985	n/a	n/a	37.546
14.496	n/a	ConfirmRating	Rate	0	Pain	7	n/a	3.469	66	43.537
14.523	5.72	ITI	Fixation+	1	Pain	n/a	6.814	n/a	n/a	43.564
20.259	3.498	Pic2	Picture	1	Pain	15	3.3	n/a	n/a	49.3
23.758	2.006	Blank	Blank	1	Pain	n/a	1.294	n/a	n/a	52.798
27.057	n/a	ConfirmRating	Rate	1	Pain	15	n/a	0.777	52	56.098
27.09	4.592	ITI	Fixation+	2	No_Pain	n/a	6.998	n/a	n/a	56.131
31.699	3.498	Pic2	Picture	2	No_Pain	34	3.483	n/a	n/a	60.739
35.197	2.006	Blank	Blank	2	No_Pain	n/a	1.477	n/a	n/a	64.238
38.68	n/a	ConfirmRating	Rate	2	No_Pain	34	n/a	0.96	22	67.721
38.712	5.72	ITI	Fixation+	3	No_Pain	n/a	7.777	n/a	n/a	67.752
44.448	3.498	Pic2	Picture	3	No_Pain	35	4.262	n/a	n/a	73.489
47.946	2.006	Blank	Blank	3	No_Pain	n/a	2.256	n/a	n/a	76.987
52.208	n/a	ConfirmRating	Rate	3	No_Pain	35	n/a	1.739	15	81.249
52.24	4.625	ITI	Fixation+	4	Pain	n/a	7.929	n/a	n/a	81.281
56.882	3.498	Pic2	Picture	4	Pain	6	4.415	n/a	n/a	85.923
60.38	2.005	Blank	Blank	4	Pain	n/a	2.409	n/a	n/a	89.421
64.795	n/a	ConfirmRating	Rate	4	Pain	6	n/a	1.892	100	93.835
64.823	4.907	ITI	Fixation+	5	No_Pain	n/a	6.671	n/a	n/a	93.864
69.747	3.498	Pic2	Picture	5	No_Pain	29	3.156	n/a	n/a	98.788
73.245	2.006	Blank	Blank	5	No_Pain	n/a	1.15	n/a	n/a	102.286
76.402	n/a	ConfirmRating	Rate	5	No_Pain	29	n/a	0.634	0	105.442
76.428	5.04	ITI	Fixation+	6	No_Pain	n/a	6.068	n/a	n/a	105.469
81.485	3.498	Pic2	Picture	6	No_Pain	39	2.553	n/a	n/a	110.526
84.983	2.006	Blank	Blank	6	No_Pain	n/a	0.547	n/a	n/a	114.024
87.537	n/a	ConfirmRating	Rate	6	No_Pain	39	n/a	0.031	0	116.577
87.569	4.609	ITI	Fixation+	7	Pain	n/a	8.804	n/a	n/a	116.61
92.195	3.498	Pic2	Picture	7	Pain	9	5.289	n/a	n/a	121.236
95.693	2.006	Blank	Blank	7	Pain	n/a	3.283	n/a	n/a	124.734
100.982	n/a	ConfirmRating	Rate	7	Pain	9	n/a	2.767	75	130.023
101.015	5.72	ITI	Fixation+	8	Pain	n/a	8.044	n/a	n/a	130.055
106.751	3.498	Pic2	Picture	8	Pain	14	4.529	n/a	n/a	135.792
110.249	2.006	Blank	Blank	8	Pain	n/a	2.523	n/a	n/a	139.29
114.778	n/a	ConfirmRating	Rate	8	Pain	14	n/a	2.006	87	143.819
114.808	5.803	ITI	Fixation+	9	No_Pain	n/a	8.694	n/a	n/a	143.849
120.628	3.498	Pic2	Picture	9	No_Pain	27	5.179	n/a	n/a	149.668
124.126	2.006	Blank	Blank	9	No_Pain	n/a	3.173	n/a	n/a	153.166
129.305	n/a	ConfirmRating	Rate	9	No_Pain	27	n/a	2.656	0	158.346
129.332	5.255	ITI	Fixation+	10	Pain	n/a	6.853	n/a	n/a	158.372
134.603	3.498	Pic2	Picture	10	Pain	20	3.338	n/a	n/a	163.644
138.102	2.006	Blank	Blank	10	Pain	n/a	1.332	n/a	n/a	167.142
