onset	duration	trial_type	response_time	KSS_rating	onset_uncorrected
0.015	120.014	Fixation+	n/a	n/a	42.271
125.421	n/a	Response	5.392	5	167.677
125.451	120.014	Fixation+	n/a	n/a	167.707
250.587	n/a	Response	5.122	6	292.843
250.604	120.014	Fixation+	n/a	n/a	292.86
376.003	n/a	Response	5.385	7	418.259
376.024	120.014	Fixation+	n/a	n/a	418.28
499.602	n/a	Response	3.564	7	541.858
