onset	duration	trial_type	response_time	KSS_rating	onset_uncorrected
0.012	120.014	Fixation+	n/a	n/a	42.983
132.241	n/a	Response	12.216	5	175.213
132.26	120.014	Fixation+	n/a	n/a	175.232
259.197	n/a	Response	6.923	6	302.168
259.22	120.014	Fixation+	n/a	n/a	302.192
384.849	n/a	Response	5.615	7	427.821
384.871	120.013	Fixation+	n/a	n/a	427.842
511.032	n/a	Response	6.148	7	554.004
