onset	duration	trial_type	response_time	KSS_rating	onset_uncorrected
0.012	120.014	Fixation+	n/a	n/a	42.917
124.853	n/a	Response	4.827	5	167.757
124.883	120.014	Fixation+	n/a	n/a	167.788
247.162	n/a	Response	2.265	6	290.067
247.185	120.014	Fixation+	n/a	n/a	290.09
373.953	n/a	Response	6.754	7	416.858
373.979	120.014	Fixation+	n/a	n/a	416.884
500.47	n/a	Response	6.477	7	543.375
