onset	duration	trial_type	response_time	KSS_rating	onset_uncorrected
0.018	120.013	Fixation+	n/a	n/a	42.353
126.676	n/a	Response	6.645	5	169.011
126.696	120.013	Fixation+	n/a	n/a	169.031
250.968	n/a	Response	4.259	6	293.304
250.987	120.013	Fixation+	n/a	n/a	293.322
375.974	n/a	Response	4.974	7	418.31
376.007	120.013	Fixation+	n/a	n/a	418.342
500.865	n/a	Response	4.844	7	543.2
